75 32 0
29 69 1
78 -34 0
79 -18 0
52 -71 0
54 28 0
6 40 1
-99 21 1
37 -17 0
15 1 0
-35 -96 0
34 -34 0
24 37 0
81 -31 0
-41 -20 1
48 -45 0
-11 78 1
-70 -26 1
86 12 0
96 75 0
82 -62 0
64 -23 0
-32 -65 1
-45 -2 1
-46 -51 1
27 -83 0
25 68 1
99 65 0
91 -27 0
83 -99 0
-52 5 1
-53 58 1
19 88 1
20 -45 0
-44 77 1
-26 -58 0
-7 96 1
-16 -90 0
80 -8 0
95 68 0
52 37 0
-18 -47 0
19 47 1
-29 -62 0
7 -36 0
-58 -46 1
15 -7 0
93 -30 0
-44 72 1
-14 -81 0
75 -40 0
-67 -66 1
91 -52 0
-18 59 1
48 -5 0
40 28 0
-65 1 1
6 -58 0
56 -88 0
-52 7 1
-51 -21 1
-46 -34 1
-99 63 1
61 50 0
80 56 0
-89 98 1
-25 -9 1
75 -11 0
52 -7 0
-51 -64 1
76 -100 0
44 -5 0
32 -79 0
86 88 0
-75 33 1
-89 100 1
-34 -46 1
-43 45 1
86 -58 0
42 45 0
-43 25 1
83 -83 0
78 57 0
-96 -87 1
76 87 0
-64 -27 1
-88 28 1
-81 -22 1
82 19 0
5 -45 0
19 -72 0
23 51 1
32 -70 0
-95 40 1
-44 -41 1
-90 49 1
-80 30 1
-68 57 1
10 -18 0
-82 19 1
50 79 0
-48 19 1
-68 -92 1
15 -53 0
35 -25 0
79 -95 0
-62 28 1
62 22 0
-43 -33 1
56 26 0
84 -56 0
89 88 0
-9 94 1
63 76 0
1 0 0
90 -9 0
59 21 0
-41 12 1
73 -24 0
36 -36 0
-53 -98 1
-19 -18 1
61 37 0
-80 73 1
92 42 0
-62 -43 1
-85 21 1
-30 -17 1
22 7 0
37 -5 0
-40 -93 0
-40 10 1
69 -17 0
-23 74 1
-28 -74 0
-57 52 1
-27 3 1
-35 13 1
42 -29 0
49 75 0
70 38 0
32 6 0
-72 17 1
-20 -42 0
25 -48 0
54 8 0
59 -8 0
38 -74 0
-6 -44 0
-16 -69 0
77 96 0
54 75 0
75 87 0
-48 -10 1
-12 88 1
-93 -81 1
23 -5 0
-95 45 1
40 73 0
39 -54 0
94 -79 0
26 33 0
16 -71 0
74 29 0
-28 -48 1
-53 22 1
41 -51 0
-26 78 1
22 51 1
-54 -38 1
-84 88 1
-70 -52 1
100 -82 0
25 -23 0
36 16 0
14 13 0
-40 -78 1
-57 -26 1
13 85 1
-68 -53 1
-58 -52 1
-2 41 1
91 80 0
51 38 0
4 8 0
-44 -82 1
-28 -35 1
-81 94 1
-99 -84 1
-81 5 1
77 -56 0
65 -21 0
-59 27 1
56 -41 0
10 -59 0
-71 97 1
-82 28 1
67 80 0
63 -29 0
73 92 0
4 -15 0
-89 -98 1
86 12 0
33 100 1
-78 56 1
-10 -64 0
-91 27 1
10 31 1
70 28 0
72 48 0
22 -77 0
-41 -58 1
46 53 0
4 61 1
40 -18 0
80 10 0
-66 43 1
66 -35 0
26 -22 0
-60 70 1
-99 77 1
-91 61 1
55 18 0
-52 54 1
3 -87 0
-56 95 1
89 37 0
-74 51 1
-35 -74 0
-62 99 1
-35 67 1
59 45 0
