75 75
29 29
78 78
79 79
52 52
54 54
6 6
-99 -99
37 37
15 15
-35 -35
34 34
24 24
81 81
-41 -41
48 48
-11 -11
-70 -70
86 86
96 96
82 82
64 64
-32 -32
-45 -45
-46 -46
27 27
25 25
99 99
91 91
83 83
-52 -52
-53 -53
19 19
20 20
-44 -44
-26 -26
-7 -7
-16 -16
80 80
95 95
52 52
-18 -18
19 19
-29 -29
7 7
-58 -58
15 15
93 93
-44 -44
-14 -14
75 75
-67 -67
91 91
-18 -18
48 48
40 40
-65 -65
6 6
56 56
-52 -52
-51 -51
-46 -46
-99 -99
61 61
80 80
-89 -89
-25 -25
75 75
52 52
-51 -51
76 76
44 44
32 32
86 86
-75 -75
-89 -89
-34 -34
-43 -43
86 86
42 42
-43 -43
83 83
78 78
-96 -96
76 76
-64 -64
-88 -88
-81 -81
82 82
5 5
19 19
23 23
32 32
-95 -95
-44 -44
-90 -90
-80 -80
-68 -68
10 10
-82 -82
50 50
-48 -48
-68 -68
15 15
35 35
79 79
-62 -62
62 62
-43 -43
56 56
84 84
89 89
-9 -9
63 63
1 1
90 90
59 59
-41 -41
73 73
36 36
-53 -53
-19 -19
61 61
-80 -80
92 92
-62 -62
-85 -85
-30 -30
22 22
37 37
-40 -40
-40 -40
69 69
-23 -23
-28 -28
-57 -57
-27 -27
-35 -35
42 42
49 49
70 70
32 32
-72 -72
-20 -20
25 25
54 54
59 59
38 38
-6 -6
-16 -16
77 77
54 54
75 75
-48 -48
-12 -12
-93 -93
23 23
-95 -95
40 40
39 39
94 94
26 26
16 16
74 74
-28 -28
-53 -53
41 41
-26 -26
22 22
-54 -54
-84 -84
-70 -70
100 100
25 25
36 36
14 14
-40 -40
-57 -57
13 13
-68 -68
-58 -58
-2 -2
91 91
51 51
4 4
-44 -44
-28 -28
-81 -81
-99 -99
-81 -81
77 77
65 65
-59 -59
56 56
10 10
-71 -71
-82 -82
67 67
63 63
73 73
4 4
-89 -89
86 86
33 33
-78 -78
-10 -10
-91 -91
10 10
70 70
72 72
22 22
-41 -41
46 46
4 4
40 40
80 80
-66 -66
66 66
26 26
-60 -60
-99 -99
-91 -91
55 55
-52 -52
3 3
-56 -56
89 89
-74 -74
-35 -35
-62 -62
-35 -35
59 59
-12 -12
-54 -54
-84 -84
98 98
-79 -79
-17 -17
82 82
67 67
57 57
-40 -40
-44 -44
95 95
80 80
-21 -21
-83 -83
99 99
89 89
-23 -23
-97 -97
-33 -33
-80 -80
63 63
-64 -64
-93 -93
41 41
-95 -95
19 19
-23 -23
-84 -84
-7 -7
63 63
-11 -11
57 57
-24 -24
-76 -76
-35 -35
76 76
99 99
37 37
-24 -24
19 19
32 32
60 60
79 79
51 51
31 31
49 49
-20 -20
22 22
47 47
26 26
-32 -32
74 74
81 81
-20 -20
-68 -68
-83 -83
91 91
35 35
-44 -44
34 34
-97 -97
-82 -82
-81 -81
-62 -62
-1 -1
-51 -51
-48 -48
-58 -58
-99 -99
-7 -7
25 25
88 88
-2 -2
-98 -98
68 68
9 9
49 49
-98 -98
-84 -84
-94 -94
-28 -28
44 44
80 80
-5 -5
-40 -40
-100 -100
-69 -69
49 49
-22 -22
-80 -80
47 47
38 38
-73 -73
33 33
-54 -54
-75 -75
65 65
-80 -80
11 11
64 64
65 65
-18 -18
37 37
-53 -53
-63 -63
-94 -94
-22 -22
92 92
60 60
4 4
-78 -78
35 35
-42 -42
-34 -34
94 94
10 10
-20 -20
73 73
54 54
-42 -42
27 27
-1 -1
17 17
49 49
99 99
100 100
2 2
-63 -63
-66 -66
55 55
-9 -9
0 0
-30 -30
49 49
-38 -38
38 38
69 69
72 72
68 68
-7 -7
60 60
-70 -70
28 28
54 54
-1 -1
-86 -86
22 22
32 32
-49 -49
-47 -47
29 29
-5 -5
34 34
6 6
62 62
24 24
-72 -72
5 5
22 22
97 97
-37 -37
24 24
-42 -42
-61 -61
99 99
63 63
-75 -75
54 54
-98 -98
36 36
7 7
86 86
-65 -65
-16 -16
15 15
5 5
0 0
14 14
-8 -8
-3 -3
25 25
95 95
-85 -85
-17 -17
-27 -27
-23 -23
-87 -87
38 38
35 35
-93 -93
38 38
-61 -61
30 30
-38 -38
73 73
-57 -57
-44 -44
12 12
-66 -66
-95 -95
-47 -47
88 88
-71 -71
-21 -21
-66 -66
-35 -35
-34 -34
-70 -70
-95 -95
49 49
97 97
-11 -11
-67 -67
35 35
52 52
11 11
12 12
30 30
-68 -68
73 73
-83 -83
56 56
56 56
-8 -8
43 43
90 90
-6 -6
8 8
-86 -86
81 81
39 39
47 47
-64 -64
-33 -33
-5 -5
-58 -58
-100 -100
-12 -12
-46 -46
48 48
54 54
48 48
29 29
-65 -65
-52 -52
39 39
-89 -89
-42 -42
22 22
27 27
59 59
-81 -81
-81 -81
3 3
-30 -30
11 11
46 46
78 78
88 88
-38 -38
61 61
74 74
-57 -57
36 36
14 14
73 73
44 44
